column,min,max,dist
feature_1,0.034,0.036,0.0019999999999999
feature_2,0.056,0.057,0.001
feature_3,0.074,0.082,0.008
feature_4,0.084,0.105,0.0209999999999999
feature_5,0.023,0.024,0.001
feature_6,0.052,0.052,0.0
feature_7,0.076,0.086,0.0099999999999999
feature_8,0.063,0.108,0.045
feature_9,0.045,0.129,0.084
feature_10,0.015,0.016,0.001
feature_11,0.046,0.046,0.0
feature_12,0.073,0.087,0.0139999999999999
feature_13,0.058,0.114,0.056
feature_14,0.036,0.138,0.102
feature_15,0.02,0.02,0.0
feature_16,0.044,0.044,0.0
feature_17,0.066,0.081,0.015
feature_18,0.052,0.107,0.055
feature_19,0.029,0.13,0.101
feature_20,0.028,0.028,0.0
feature_21,0.047,0.047,0.0
feature_22,0.061,0.075,0.0139999999999999
feature_23,0.05,0.095,0.045
feature_24,0.03,0.116,0.086
feature_25,0.034,0.036,0.0019999999999999
feature_26,0.055,0.057,0.002
feature_27,0.073,0.083,0.01
feature_28,0.082,0.106,0.0239999999999999
feature_29,0.022,0.024,0.002
feature_30,0.052,0.052,0.0
feature_31,0.076,0.086,0.0099999999999999
feature_32,0.061,0.108,0.047
feature_33,0.043,0.129,0.086
feature_34,0.014,0.016,0.002
feature_35,0.046,0.046,0.0
feature_36,0.072,0.087,0.015
feature_37,0.058,0.114,0.056
feature_38,0.036,0.138,0.102
feature_39,0.02,0.02,0.0
feature_40,0.044,0.044,0.0
feature_41,0.066,0.081,0.015
feature_42,0.052,0.107,0.055
feature_43,0.029,0.13,0.101
feature_44,0.028,0.028,0.0
feature_45,0.047,0.047,0.0
feature_46,0.06,0.074,0.0139999999999999
feature_47,0.049,0.093,0.044
feature_48,0.029,0.114,0.085
